,id,ident,name,latitude_deg,longitude_deg,country_name,region_name,municipality,iata_code,full_text,score
1137,6026,SCIP,Mataveri Airport,-27.1648006439,-109.42199707,Chile,Valparaíso Region,Isla De Pascua,IPC,"Mataveri Airport, Isla De Pascua, Chile, IPC",750
1138,2583,ENKR,"Kirkenes Airport, Høybuktmoen",69.7258,29.8913,Norway,Finnmark,Kirkenes,KKN,"Kirkenes Airport, Høybuktmoen, Kirkenes, Norway, KKN",750
1139,3637,KLCH,Lake Charles Regional Airport,30.126100540161133,-93.22329711914062,United States,Louisiana,Lake Charles,LCH,"Lake Charles Regional Airport, Lake Charles, United States, LCH",750
1140,3630,KLAR,Laramie Regional Airport,41.31209945678711,-105.6750030517578,United States,Wyoming,Laramie,LAR,"Laramie Regional Airport, Laramie, United States, LAR",750
1141,3706,KMSL,Northwest Alabama Regional Airport,34.745123,-87.612981,United States,Alabama,Muscle Shoals,MSL,"Northwest Alabama Regional Airport, Muscle Shoals, United States, MSL",750
1142,4158,LFMP,Perpignan-Rivesaltes (Llabanère) Airport,42.740398,2.87067,France,Occitanie,Perpignan/Rivesaltes,PGF,"Perpignan-Rivesaltes (Llabanère) Airport, Perpignan/Rivesaltes, France, PGF",750
1143,3456,KCLM,William R Fairchild International Airport,48.120201,-123.5,United States,Washington,Port Angeles,CLM,"William R Fairchild International Airport, Port Angeles, United States, CLM",750
1144,3999,LEAS,Asturias Airport,43.563599,-6.03462,Spain,Asturias,Ranón,OVD,"Asturias Airport, Ranón, Spain, OVD",750
1145,4362,LIPR,Federico Fellini International Airport,44.020302,12.6117,Italy,Emilia-Romagna,Rimini (RN),RMI,"Federico Fellini International Airport, Rimini (RN), Italy, RMI",750
1146,1931,CYUY,Rouyn Noranda Airport,48.20610046386719,-78.83560180664062,Canada,Quebec,Rouyn-Noranda,YUY,"Rouyn Noranda Airport, Rouyn-Noranda, Canada, YUY",750
1147,4142,LFLS,Grenoble Alpes Isère Airport,45.3629,5.32937,France,Auvergne-Rhône-Alpes,"Saint-Étienne-de-Saint-Geoirs, Isère",GNB,"Grenoble Alpes Isère Airport, Saint-Étienne-de-Saint-Geoirs, Isère, France, GNB",750
1148,4324,LICT,Vincenzo Florio Airport Trapani-Birgi,37.9114,12.488,Italy,Sicily,Trapani (TP),TPS,"Vincenzo Florio Airport Trapani-Birgi, Trapani (TP), Italy, TPS",750
1149,2710,ESSV,Visby Airport,57.662799835205,18.346200942993,Sweden,Gotlands län,Visby,VBY,"Visby Airport, Visby, Sweden, VBY",750
1150,3886,KSKF,Lackland Air Force Base,29.38419914,-98.58110046,United States,Texas,San Antonio,SKF,"Lackland Air Force Base, San Antonio, United States, SKF",599
1151,5386,PAMR,Merrill Field,61.212792,-149.843988,United States,Alaska,Anchorage,MRI,"Merrill Field, Anchorage, United States, MRI",500
1152,3713,KMTN,Martin State Airport,39.325699,-76.413803,United States,Maryland,Baltimore,MTN,"Martin State Airport, Baltimore, United States, MTN",500
1153,21118,KSUN,Friedman Memorial Airport,43.50439835,-114.2959976,United States,Idaho,Hailey,SUN,"Friedman Memorial Airport, Hailey, United States, SUN",500
1154,20393,KLWS,Lewiston Nez Perce County Airport,46.3745002746582,-117.01499938964844,United States,Idaho,Lewiston,LWS,"Lewiston Nez Perce County Airport, Lewiston, United States, LWS",500
1155,20482,KMCW,Mason City Municipal Airport,43.159801,-93.329716,United States,Iowa,Mason City,MCW,"Mason City Municipal Airport, Mason City, United States, MCW",500
1156,1868,CYQH,Watson Lake Airport,60.116839,-128.821993,Canada,Yukon,Watson Lake,YQH,"Watson Lake Airport, Watson Lake, Canada, YQH",500
